AUTHID,sEXT,sNEU,sAGR,sCON,sOPN,cEXT,cNEU,cAGR,cCON,cOPN
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
b7b7764cfa1c523e4e93ab2a79a946c4,2.65,3,3.15,3.25,4.4,n,y,n,n,y
